id,kloter_id,kategori,jumlah_pengeluaran,jumlah_pakan_kg,tanggal_pengeluaran,catatan,created_at,updated_at
23,7,Lainnya,600000,NULL,2025-07-29,Biaya pembelian DOC awal,2025-09-21 21:46:06,2025-09-21 21:46:06
,(24,7,Pakan,1512000,180,2025-09-22,3 sak\r\n20 kg,2025-09-21 21:50:10,2025-09-21 21:50:10
,(25,8,Lainnya,500000,NULL,2025-10-13,Biaya pembelian DOC awal,2025-10-21 05:19:23,2025-10-21 05:19:23
,(26,8,Pakan,672000,80,2025-10-13,1 sak + 30 kg,2025-10-21 05:22:27,2025-10-21 05:22:27
,(27,8,Pakan,420000,50,2025-11-14,1 sak pakan,2025-11-14 02:31:32,2025-11-14 02:31:32
,(28,8,Pakan,420000,50,2025-11-21,1sak pakan,2025-11-20 20:02:58,2025-11-20 20:02:58
,(30,8,Pakan,84000,10,2025-12-09,Sak ke 4,2025-12-09 02:15:16,2025-12-09 02:15:16
,(31,9,Lainnya,500000,NULL,2025-12-15,Biaya pembelian DOC awal,2025-12-12 23:06:55,2025-12-12 23:06:55
,(32,9,Pakan,336000,40,2025-12-13,NULL,2025-12-12 23:08:51,2025-12-12 23:08:51
,(33,9,Pakan,420000,50,2025-12-18,611,2025-12-17 19:08:23,2025-12-17 19:08:23
